;AnoMes;quantidadePix;valorPix;quantidadeTED;valorTED;quantidadeTEC;valorTEC;quantidadeCheque;valorCheque;quantidadeBoleto;valorBoleto;quantidadeDOC;valorDOC;data
0;202409;5539431,94;2445584,05;66155,98;3730246,21;0,0;0,0;9978,94;39601,85;344698,46;520250,19;0,0;0,0;2024-09-01
1;202408;5662270,37;2433025,68;67581,13;3621022,65;0,0;0,0;10009,39;39142,87;343924,99;519248,33;0,0;0,0;2024-08-01
2;202407;5418347,31;2417949,17;69657,15;3828948,82;0,0;0,0;10942,8;41504,78;366484,15;546660,21;0,0;0,0;2024-07-01
3;202406;5278882,42;2179183,74;63599,32;3527912,28;0,0;0,0;9642,76;36114,74;327754,93;475278,61;0,0;0,0;2024-06-01
4;202405;5229864,01;2138902,46;69023,11;3482036,97;0,0;0,0;10467,85;40133,55;349180,92;506302,82;0,0;0,0;2024-05-01
5;202404;4924838,48;2084927,51;70647,15;3652606,48;0,0;0,0;11179,22;43295,4;361633,28;524619,69;0,0;0,0;2024-04-01
6;202403;4903701,44;1937103,87;67565,05;3333054,27;0,0;0,0;10122,46;36644,55;336435,46;469047,59;0,0;0,0;2024-03-01
7;202402;4367381,85;1718899,25;65805,87;2981226,45;60,01;109,32;10373,38;37076,26;332269,47;463066,01;61,89;34,21;2024-02-01
8;202401;4371780,47;1819217,6;70343,25;3337344,85;387,18;815,94;11919,12;41615,89;363550,32;516702,44;600,76;616,58;2024-01-01
9;202312;4804636,66;1933889,3;80202,26;3629758,88;1152,37;2498,31;11241,91;39208,22;337552,05;484391,91;1412,03;1399,42;2023-12-01
10;202311;4231433,93;1740914,43;74398,37;3135994,81;754,56;1711,45;11866,27;40735,16;345234,36;490503,75;1506,38;1521,77;2023-11-01
11;202310;4069829,12;1666098,49;71870,52;3325168,12;664,92;1578,12;12902,42;46646,9;362721,59;512336,66;1746,38;1763,79;2023-10-01
12;202309;3846884,78;1539075,6;69407,76;3190049,86;483,31;1085,19;11916,38;41653,43;340115,13;471176,87;2636,88;2532,14;2023-09-01
13;202308;3767449,43;1529393,12;76572,58;3406864,68;614,09;1481,22;13113,98;46973,84;360865,3;501254,74;5253,95;3197,77;2023-08-01
14;202307;3533076,29;1422692,09;71737,31;3363337,34;667,68;1589,98;12782,7;43634,75;353354,67;479276,62;4722,99;4401,98;2023-07-01
15;202306;3296854,86;1365762,04;73637,38;3658988,12;710,66;1683,4;12898,39;44354,61;348653,58;475375,14;3810,8;4006,27;2023-06-01
16;202305;3189216,58;1343030,27;75894,99;3763925,98;620,33;1492,52;14171,91;50982,54;366029,09;509111,41;4139,19;4971,97;2023-05-01
17;202304;2910507,92;1191585,3;69286,74;3234549,03;661,7;1594,82;12188,2;43399,52;326293,01;443418,56;2378,17;2279,99;2023-04-01
18;202303;3001956,41;1280326,31;80528,82;3635596,42;680,54;1584,04;13763,41;55997,48;362664,11;487777,17;2595,33;2565,47;2023-03-01
19;202302;2539124,77;1055639,24;70232,83;2889422,93;645,05;1512,53;12393,22;50947,11;325643,69;427177,9;2436,12;2367,58;2023-02-01
20;202301;2575314,32;1111232,73;77982,34;3394583,49;632,37;1438,59;14091,41;46687,43;357005,85;479459,52;2499,45;2534,06;2023-01-01
21;202212;2872229,81;1221189,93;91361,54;3810324,55;1272,38;2757,91;14246,95;47529,19;349044,0;478219,38;3211,72;3117,79;2022-12-01
22;202211;2498449,43;1075310,97;83094,38;3323697,77;602,37;1316,4;14501,4;48575,49;349118,91;473580,19;3248,99;3187,94;2022-11-01
23;202210;2436486,47;1046413,03;79833,93;3248099,31;657,19;1535,22;14985,6;49550,28;353610,13;477418,67;3411,03;3278,9;2022-10-01
24;202209;2287655,11;1019526,37;85504,31;3471556,34;483,81;1073,51;15454,12;52438,11;350208,81;475684,01;4247,83;4047,07;2022-09-01
25;202208;2180316,37;983789,49;88850,51;3587442,45;440,6;973,35;16827,09;57856,85;373212,23;505529,0;6694,35;6367,15;2022-08-01
26;202207;2060630,59;933098,09;82325,31;3378764,36;753,36;1688,6;15237,06;50103,61;342147,16;450111,25;7105,1;6692,24;2022-07-01
27;202206;1925887,77;888818,17;84009,11;3541847,8;692,63;1615,03;15759,32;51717,74;350345,01;460839,19;6785,49;6596,06;2022-06-01
28;202205;1856767,98;882394,8;87854,94;3695833,5;714,97;1619,31;16857,13;56889,59;364436,61;480056,55;7014,02;6799,14;2022-05-01
29;202204;1664792,46;772171,43;82723,74;3211893,37;704,51;1551,8;15144,47;49618,47;334954,82;431871,09;4105,58;3686,33;2022-04-01
30;202203;1598295,91;787017,65;93022,24;3583365,23;582,01;1277,27;18276,79;58871,56;380679,53;475829,92;4906,23;4354,95;2022-03-01
31;202202;1367497,83;644475,7;79412,96;2880855,45;537,39;1147,26;14059,59;42796,67;308925,15;370347,17;4095,13;3701,32;2022-02-01
32;202201;1284230,01;636333,2;84458,74;3042937,65;675,96;1441,29;16195,58;47613,5;343641,99;420659,17;4193,62;3920,09;2022-01-01
33;202112;1442212,36;714884,43;105998,02;3670235,48;1305,51;2524,43;18159,22;54523,81;357708,47;452537,25;5017,86;4698,79;2021-12-01
34;202111;1226445,29;620923,1;96520,8;3046202,31;691,57;1416,04;18274,71;53233,05;361368,8;443844,71;5648,19;4725,76;2021-11-01
35;202110;1167627,95;580611,15;91544,91;3090855,32;681,7;1495,72;17160,27;49988,27;342504,64;412222,98;6050,76;4742,44;2021-10-01
36;202109;1028427,24;553183,59;94312,02;3089309,13;624,11;1330,64;17902,58;52527,15;349225,18;420768,07;6205,63;5002,1;2021-09-01
37;202108;961033,47;529325,7;99440,21;3159715,32;402,95;790,52;18734,59;55032,48;360595,99;427123,67;10095,59;8283,09;2021-08-01
38;202107;873876,23;474406,92;102448,1;3008021,83;763,01;1562,97;18196,26;52678,84;349844,73;404147,44;11366,75;9021,56;2021-07-01
39;202106;735299,77;416301,68;107582,53;2980596,44;696,15;1464,76;18254,45;53161,69;342773,47;393852,08;10902,82;8958,66;2021-06-01
40;202105;641530,48;376521,08;115346,16;2850298,09;489,86;983,25;18456,48;54201,28;341731,09;389564,26;10221,54;8444,29;2021-05-01
41;202104;494733,63;312912,44;110989,05;2735892,74;693,38;1446,8;18441,84;52999,98;335530,74;374186,91;7535,06;5755,89;2021-04-01
42;202103;389558,55;273005,19;119890,41;3083743,42;638,88;1272,87;21076,69;57274,71;358045,89;399875,9;8589,92;6559,22;2021-03-01
43;202102;273167,83;195464,5;111617,8;2381021,03;740,59;1497,1;17997,84;46939,4;306432,32;338584,62;8622,89;6384,33;2021-02-01
44;202101;199611,49;156576,83;122663,27;2429649,71;801,69;1582,47;18870,96;47363,18;314232,62;351809,62;14474,54;8834,15;2021-01-01
45;202012;143339,29;120697,92;189261,59;2935690,91;1043,65;2065,64;22020,43;55376,12;353636,58;394356,67;16774,77;11369,78;2020-12-01
46;202011;32867,36;29196,99;191703,38;2571188,87;750,55;1485,96;21885,21;52526,06;350564,46;375573,9;22362,97;13980,28;2020-11-01
47;202010;0,0;0,0;193914,69;2529825,54;755,53;1585,81;21888,85;53427,37;336428,41;363359,84;19496,7;13355,08;2020-10-01
